country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Afghanistan,Kabul,34.5527,69.3376,max,earthquake,7.58
Afghanistan,Kapisa,34.9568,69.6258,max,earthquake,7.37
Afghanistan,Parwan,34.9619,68.887,max,earthquake,7.8
Afghanistan,Maidan Wardak,34.3033,68.2174,max,earthquake,7.86
Afghanistan,Logar,34.0121,69.1631,max,earthquake,8.26
Afghanistan,Nangarhar,34.2743,70.4529,max,earthquake,7.74
Afghanistan,Laghman,34.7693,70.1638,max,earthquake,7.59
Afghanistan,Panjsher,35.4474,69.798,max,earthquake,8.58
Afghanistan,Baghlan,35.8025,68.9114,max,earthquake,8.47
Afghanistan,Bamyan,34.8046,67.2373,max,earthquake,9.4
Afghanistan,Ghazni,33.3211,67.812,max,earthquake,7.24
Afghanistan,Paktika,32.4839,68.7351,max,earthquake,6.88
Afghanistan,Paktya,33.6295,69.3852,max,earthquake,8.26
Afghanistan,Khost,33.3746,69.822,max,earthquake,7.2
Afghanistan,Kunar,34.9641,71.0802,max,earthquake,7.72
Afghanistan,Nuristan,35.4148,70.7791,max,earthquake,9.05
Afghanistan,Badakhshan,37.0338,71.43,max,earthquake,10.2
Afghanistan,Takhar,36.7003,69.779,max,earthquake,10.05
Afghanistan,Kunduz,36.8401,68.7449,max,earthquake,7.95
Afghanistan,Samangan,35.9727,67.7027,max,earthquake,8.4
Afghanistan,Balkh,36.6645,67.0787,max,earthquake,9.15
Afghanistan,Sar E Pul,35.7161,66.1359,max,earthquake,7.78
Afghanistan,Ghor,34.1786,64.9307,max,earthquake,7.08
Afghanistan,Daykundi,33.7044,66.2189,max,earthquake,6.69
Afghanistan,Uruzgan,32.8545,66.057,max,earthquake,6.27
Afghanistan,Zabul,32.2009,67.1469,max,earthquake,7.24
Afghanistan,Kandahar,31.0493,65.7034,max,earthquake,8.25
Afghanistan,Jawzjan,36.8271,65.8588,max,earthquake,8.64
Afghanistan,Faryab,36.0614,64.8706,max,earthquake,6.68
Afghanistan,Hilmand,31.1575,64.0492,max,earthquake,7.56
Afghanistan,Badghis,35.1353,63.7334,max,earthquake,5.96
Afghanistan,Hirat,34.1955,62.1344,max,earthquake,7.54
Afghanistan,Farah,32.6062,62.304,max,earthquake,6.91
Afghanistan,Nimroz,30.8042,62.3194,max,earthquake,7.18
Burundi,Bururi,-3.863,29.6804,max,earthquake,6.71
Burundi,Makamba,-4.2149,29.8008,max,earthquake,7.8
Burundi,Rumonge,-3.8325,29.4632,max,earthquake,7.25
Burundi,Cankuzo,-3.1456,30.5926,max,earthquake,5.48
Burundi,Cibitoke,-2.8296,29.2295,max,earthquake,7.49
Burundi,Gitega,-3.488,29.921,max,earthquake,6.6
Burundi,Karuzi,-3.1395,30.1238,max,earthquake,5.93
Burundi,Bujumbura Mairie,-3.3583,29.375,max,earthquake,7.61
Burundi,Kirundo,-2.5417,30.1606,max,earthquake,5.6
Burundi,Bujumbura Rural,-3.4464,29.4524,max,earthquake,8.02
Burundi,Muramvya,-3.2708,29.6514,max,earthquake,6.79
Burundi,Muyinga,-2.788,30.3423,max,earthquake,5.54
Burundi,Mwaro,-3.4842,29.7196,max,earthquake,6.62
Burundi,Ngozi,-2.8763,29.9271,max,earthquake,6.15
Burundi,Rutana,-3.872,30.0828,max,earthquake,7.15
Burundi,Ruyigi,-3.4609,30.3104,max,earthquake,6.28
Burundi,Bubanza,-3.125,29.4038,max,earthquake,8.02
Burundi,Kayanza,-3.01,29.6651,max,earthquake,6.61
Cameroon,East,3.8071,14.1987,max,earthquake,7.32
Cameroon,North,8.4801,13.9254,max,earthquake,0
Cameroon,North-West,6.3572,10.3616,max,earthquake,0
Cameroon,Centre,4.668,11.823,max,earthquake,0
Cameroon,West,5.502,10.6483,max,earthquake,0
Cameroon,South,2.7611,11.5719,max,earthquake,4.05
Cameroon,South-West,5.2069,9.2969,max,earthquake,0
Cameroon,Adamawa,6.855,13.1399,max,earthquake,0
Cameroon,Far-North,10.9703,14.5422,max,earthquake,0
Cameroon,Littoral,4.264,10.1195,max,earthquake,0
Central African Republic,Nana-Mambéré,5.6977,15.3805,max,earthquake,0
Central African Republic,Ouham Pendé,6.7204,16.1399,max,earthquake,0
Central African Republic,Ombella M'Poko,5.1185,17.9927,max,earthquake,5.09
Central African Republic,Lobaye,4.1761,17.6142,max,earthquake,4.14
Central African Republic,Mambéré-Kadéï,4.5644,15.9161,max,earthquake,4.43
Central African Republic,Sangha-Mbaéré,3.4796,16.2855,max,earthquake,5.51
Central African Republic,Ouham,6.9148,17.8908,max,earthquake,0
Central African Republic,Kémo,5.803,19.296,max,earthquake,5.07
Central African Republic,Nana-Gribizi,7.1936,19.3324,max,earthquake,0
Central African Republic,Ouaka,6.1269,20.7487,max,earthquake,4.74
Central African Republic,Bamingui-Bangoran,8.4178,20.5787,max,earthquake,0
Central African Republic,Haute-Kotto,7.4631,22.9197,max,earthquake,0
Central African Republic,Vakaga,9.8054,22.5084,max,earthquake,0
Central African Republic,Basse-Kotto,4.9004,21.3598,max,earthquake,4.16
Central African Republic,Mbomou,5.5057,23.389,max,earthquake,0
Central African Republic,Haut-Mbomou,6.3028,25.58,max,earthquake,0
Central African Republic,Bangui,4.3889,18.5694,max,earthquake,4.47
Colombia,Antioquia,6.9225,-75.5642,max,earthquake,9.17
Colombia,Atlántico,10.6747,-74.963,max,earthquake,5.59
Colombia,"Bogotá, D.C.",4.3333,-74.1779,max,earthquake,8.14
Colombia,Bolívar,8.7419,-74.5073,max,earthquake,8.07
Colombia,Arauca,6.5636,-70.9685,max,earthquake,8.46
Colombia,Caldas,5.344,-75.3051,max,earthquake,8.3
Colombia,Caquetá,0.7997,-73.9609,max,earthquake,9
Colombia,Cauca,2.3914,-76.8208,max,earthquake,9.26
Colombia,Vichada,4.7168,-69.4107,max,earthquake,6.77
Colombia,Córdoba,8.3589,-75.7909,max,earthquake,8.28
Colombia,Cundinamarca,4.821,-74.0983,max,earthquake,8.14
Colombia,Chocó,5.9565,-76.927,max,earthquake,9.3
Colombia,Huila,2.5617,-75.5915,max,earthquake,9.36
Colombia,Magdalena,10.2256,-74.2573,max,earthquake,6.56
Colombia,Meta,3.3456,-72.9498,max,earthquake,9.07
Colombia,Nariño,1.5622,-77.8674,max,earthquake,9.75
Colombia,Quindio,4.4546,-75.6896,max,earthquake,8.2
Colombia,Risaralda,5.0836,-75.8381,max,earthquake,8.59
Colombia,Sucre,9.0593,-75.1068,max,earthquake,7.88
Colombia,Tolima,4.0358,-75.2529,max,earthquake,8.67
Colombia,Valle del Cauca,3.8588,-76.5032,max,earthquake,9.3
Colombia,Boyacá,5.7761,-73.105,max,earthquake,8.46
Colombia,Casanare,5.4043,-71.6001,max,earthquake,8.26
Colombia,Putumayo,0.4648,-75.8643,max,earthquake,7.79
Colombia,"Archipiélago de San Andrés, Providencia y Santa Catalina",12.9375,-81.5417,max,earthquake,6.66
Colombia,Amazonas,-1.5236,-71.5086,max,earthquake,10.5
Colombia,Guainía,2.7263,-68.8201,max,earthquake,6.6
Colombia,Guaviare,1.9244,-72.1228,max,earthquake,7.95
Colombia,Vaupés,0.6452,-70.5743,max,earthquake,7.13
Colombia,Santander,6.6928,-73.4857,max,earthquake,8.67
Colombia,Norte de Santander,8.0924,-72.8886,max,earthquake,8.15
Colombia,Cesar,9.5381,-73.5259,max,earthquake,6.29
Colombia,La Guajira,11.4804,-72.4359,max,earthquake,8.02
DR Congo,Kinshasa,-4.4385,15.8966,max,earthquake,0
DR Congo,Kongo-Central,-5.282,14.3176,max,earthquake,0
DR Congo,Kwango,-6.422,17.854,max,earthquake,0
DR Congo,Kwilu,-4.7825,18.6562,max,earthquake,0
DR Congo,Maï-Ndombe,-2.6987,18.523,max,earthquake,0
DR Congo,Equateur,0.2321,18.9179,max,earthquake,6.93
DR Congo,Sud-Ubangi,3.0899,19.3529,max,earthquake,6.68
DR Congo,Nord-Ubangi,3.8713,21.0627,max,earthquake,6.68
DR Congo,Mongala,2.0981,21.5161,max,earthquake,6.24
DR Congo,Tshuapa,-0.6677,21.7526,max,earthquake,5.68
DR Congo,Tshopo,0.4811,25.2071,max,earthquake,6.84
DR Congo,Bas-Uele,3.6238,25.144,max,earthquake,4.37
DR Congo,Haut-Uele,3.3351,28.5878,max,earthquake,5.7
DR Congo,Ituri,1.7456,29.4375,max,earthquake,7.84
DR Congo,Nord-Kivu,-0.6174,28.6655,max,earthquake,8.4
DR Congo,Sud-Kivu,-3.1841,28.171,max,earthquake,8.31
DR Congo,Maniema,-3.0847,26.4262,max,earthquake,8.24
DR Congo,Haut-Katanga,-10.48,27.8182,max,earthquake,7.12
DR Congo,Lualaba,-9.835,23.8948,max,earthquake,6.21
DR Congo,Haut-Lomami,-8.2368,25.4296,max,earthquake,6.35
DR Congo,Tanganyika,-6.5571,28.0314,max,earthquake,8.4
DR Congo,Lomami,-6.2074,24.689,max,earthquake,6.61
DR Congo,Kasaï-Oriental,-6.1473,23.5163,max,earthquake,4.27
DR Congo,Sankuru,-3.4837,23.6076,max,earthquake,6.82
DR Congo,Kasaï-Central,-6.2268,22.4903,max,earthquake,4.04
DR Congo,Kasaï,-4.9374,21.1087,max,earthquake,4.3
Ethiopia,Tigray,13.7548,38.4472,max,earthquake,7.83
Ethiopia,Amhara,11.5634,38.0458,max,earthquake,7.94
Ethiopia,Oromia,7.511,38.7661,max,earthquake,8.26
Ethiopia,Somali,6.9251,43.3254,max,earthquake,7.48
Ethiopia,Benishangul Gumz,10.5057,35.448,max,earthquake,4.06
Ethiopia,SNNP,6.285,37.1923,max,earthquake,8.14
Ethiopia,South West Ethiopia,6.7572,35.9124,max,earthquake,6.34
Ethiopia,Gambela,7.7043,34.3344,max,earthquake,5.28
Ethiopia,Harari,9.2941,42.1789,max,earthquake,5.34
Ethiopia,Addis Ababa,8.9774,38.7812,max,earthquake,4.79
Ethiopia,Dire Dawa,9.6057,41.9992,max,earthquake,5.85
Ethiopia,Sidama,6.6661,38.5494,max,earthquake,7.48
Ethiopia,Afar,12.0131,40.7637,max,earthquake,8.13
