Decade,Earthquake Count,Average Magnitude,Maximum Magnitude,Total Deaths,Total Injuries
1900,120,7.23,8.8,127817.0,2448.0
1910,171,7.080116959064328,8.3,49858.0,8357.0
1920,176,6.7465909090909095,8.5,371824.0,61159.0
1930,183,6.726229508196722,8.6,170536.0,122720.0
1940,155,6.905161290322581,8.6,149796.0,27693.0
1950,198,6.769191919191919,9.0,21008.0,13622.0
1960,270,6.468518518518518,9.5,50222.0,68339.0
1970,293,6.429351535836178,8.3,435113.0,1045971.0
1980,318,6.032075471698113,8.2,67130.0,104242.0
1990,332,6.261144578313252,8.3,107881.0,346888.0
2000,604,5.8471854304635755,9.1,462354.0,834528.0
2010,457,6.0945295404814,9.1,354828.0,468259.0
